,Dialogue,score,sentiment
0,"﻿Ross was in love
",0.5,0.6
1,"with Rachel since forever.
",0.0,0.0
2,"Every time he tried to tell her,
",0.0,0.0
3,"something got in the way...
",0.0,0.0
4,"...like cats, Italian guys.
",0.0,0.0
5,"And finally, Chandler was,
",0.0,1.0
6,"like, ""Forget about her.""
",0.0,0.0
7,"When Ross was in China, Chandler
",0.0,0.0
8,"let it slip that Ross loved Rachel.
",0.7,0.8
9,"She was, like, ""Oh, my God!""
",0.0,0.0
10,"So she went to the airport to meet him.
",0.0,0.0
11,"She didn't know Ross was getting
",0.0,0.0
12,"off the plane with another woman.
",0.0,0.0
13,"That's pretty much everything
",0.225,0.6
14,"you need to know.
",0.0,0.0
15,"But enough about us.
",0.0,0.5
16,"How have you been?
",0.0,0.0
17,"This is pretty much
",0.225,0.6
18,"what's happened so far.
",0.1,1.0
19,"Flight number 457
",0.0,0.0
20,"from Beijing now arriving.
",0.0,0.0
21,"Oh, my God!
",0.0,0.0
22,"Oh, my God!
",0.0,0.0
23,"Excuse me.
",-0.05,0.05
24,"Move, move, move!
",0.0,0.0
25,"Emergency, please!
",0.0,0.0
26,"Excuse me, excuse me.
",-0.05,0.05
27,"There you are!
",0.0,0.0
28,"So, so...
",0.0,0.0
29,"How was China? You!
",0.0,0.0
30,"It was great.
",0.8,0.75
31,"What happened?
",0.0,0.0
32,"- You're bleeding.
",0.0,0.0
33,"- I am?
",0.0,0.0
34,"Oh, look at that! Yes, I am.
",0.0,0.0
35,"Enough about me,
",0.0,0.5
36,"Mr. Back From The Orient!
",0.0,0.0
37,"Come on, I wanna hear everything!
",0.0,0.0
38,"Everything!
",0.0,0.0
39,"Well, where do I start?
",0.0,0.0
40,"This is Julie.
",0.0,0.0
41,"Julie, this is Rachel.
",0.0,0.0
42,"These are...
",0.0,0.0
43,"These are...
",0.0,0.0
44,"...aren't for you.
",0.0,0.0
45,"These are for you.
",0.0,0.0
46,"Welcome to our country.
",0.8,0.9
47,"Thank you. I'm from New York.
",0.13636363636363635,0.45454545454545453
48,"No problem. We'll use them
",0.0,0.0
49,"to stop the bleeding.
",0.0,0.0
