,Dialogue,preprocess_txt,total_len,pos_count,neg_count,sentiment
0,"﻿Ross was in love
","['ross', 'love']",2,1,0,0.5
1,"with Rachel since forever.
","['rachel', 'since', 'forever']",3,0,0,0.0
2,"Every time he tried to tell her,
","['every', 'time', 'tried', 'tell']",4,0,0,0.0
3,"something got in the way...
","['something', 'got', 'way']",3,0,0,0.0
4,"...like cats, Italian guys.
","['like', 'cat', 'italian', 'guy']",4,1,0,0.25
5,"And finally, Chandler was,
","['finally', 'chandler']",2,0,0,0.0
6,"like, ""Forget about her.""
","['like', 'forget']",2,1,0,0.5
7,"When Ross was in China, Chandler
","['ross', 'china', 'chandler']",3,0,0,0.0
8,"let it slip that Ross loved Rachel.
","['let', 'slip', 'ross', 'loved', 'rachel']",5,1,0,0.2
9,"She was, like, ""Oh, my God!""
","['like', 'oh', 'god']",3,1,0,0.33
10,"So she went to the airport to meet him.
","['went', 'airport', 'meet']",3,0,0,0.0
11,"She didn't know Ross was getting
","['know', 'ross', 'getting']",3,0,0,0.0
12,"off the plane with another woman.
","['plane', 'another', 'woman']",3,0,0,0.0
13,"That's pretty much everything
","['pretty', 'much', 'everything']",3,1,0,0.33
14,"you need to know.
","['need', 'know']",2,0,0,0.0
15,"But enough about us.
","['enough', 'u']",2,1,0,0.5
16,"How have you been?
",[],0,0,0,
17,"This is pretty much
","['pretty', 'much']",2,1,0,0.5
18,"what's happened so far.
","['happened', 'far']",2,0,0,0.0
19,"Flight number 457
","['flight', 'number']",2,0,0,0.0
20,"from Beijing now arriving.
","['beijing', 'arriving']",2,0,0,0.0
21,"Oh, my God!
","['oh', 'god']",2,0,0,0.0
22,"Oh, my God!
","['oh', 'god']",2,0,0,0.0
23,"Excuse me.
",['excuse'],1,0,1,-1.0
24,"Move, move, move!
","['move', 'move', 'move']",3,0,0,0.0
25,"Emergency, please!
","['emergency', 'please']",2,1,2,-0.5
26,"Excuse me, excuse me.
","['excuse', 'excuse']",2,0,2,-1.0
27,"There you are!
",[],0,0,0,
28,"So, so...
",[],0,0,0,
29,"How was China? You!
",['china'],1,0,0,0.0
30,"It was great.
",['great'],1,1,0,1.0
31,"What happened?
",['happened'],1,0,0,0.0
32,"- You're bleeding.
",['bleeding'],1,0,1,-1.0
33,"- I am?
",[],0,0,0,
34,"Oh, look at that! Yes, I am.
","['oh', 'look', 'yes']",3,0,0,0.0
35,"Enough about me,
",['enough'],1,1,0,1.0
36,"Mr. Back From The Orient!
","['mr', 'back', 'orient']",3,0,0,0.0
37,"Come on, I wanna hear everything!
","['come', 'wan', 'na', 'hear', 'everything']",5,0,0,0.0
38,"Everything!
",['everything'],1,0,0,0.0
39,"Well, where do I start?
","['well', 'start']",2,1,0,0.5
40,"This is Julie.
",['julie'],1,0,0,0.0
41,"Julie, this is Rachel.
","['julie', 'rachel']",2,0,0,0.0
42,"These are...
",[],0,0,0,
43,"These are...
",[],0,0,0,
44,"...aren't for you.
",[],0,0,0,
45,"These are for you.
",[],0,0,0,
46,"Welcome to our country.
","['welcome', 'country']",2,1,0,0.5
47,"Thank you. I'm from New York.
","['thank', 'new', 'york']",3,1,0,0.33
48,"No problem. We'll use them
","['problem', 'use']",2,1,2,-0.5
49,"to stop the bleeding.
","['stop', 'bleeding']",2,0,1,-0.5
50,"Baggage claim?
","['baggage', 'claim']",2,0,0,0.0
51,"I'm telling U. She went to the airport,
","['telling', 'u', 'went', 'airport']",4,0,0,0.0
52,"and she's gonna go for it with Ross.
","['gon', 'na', 'go', 'ross']",4,0,0,0.0
53,"Oh, my God! This is huge!
","['oh', 'god', 'huge']",3,0,0,0.0
54,"This is bigger than huge.
","['bigger', 'huge']",2,0,0,0.0
55,"This is...
",[],0,0,0,
56,"All right, what's bigger than huge?
","['right', 'bigger', 'huge']",3,1,0,0.33
57,"This?
",[],0,0,0,
58,"Guys, you got new haircuts!
","['guy', 'got', 'new', 'haircut']",4,0,0,0.0
59,"Yes, we did.
",['yes'],1,0,0,0.0
60,"Thanks to Vidal Buffay.
","['thanks', 'vidal', 'buffay']",3,0,0,0.0
61,"Because, you know, ""If you don't
",['know'],1,0,0,0.0
62,"look good, we don't look good.""
","['look', 'good', 'look', 'good']",4,2,0,0.5
63,"I love that voice!
","['love', 'voice']",2,1,0,0.5
64,"And the winner is Eva Godna!
","['winner', 'eva', 'godna']",3,1,0,0.33
65,"Airport. Airport. Ross.
","['airport', 'airport', 'ross']",3,0,0,0.0
66,"Not alone.
",['alone'],1,0,0,0.0
67,"Julie.
",['julie'],1,0,0,0.0
68,"Arm around her!
","['arm', 'around']",2,0,0,0.0
69,"Cramp! Cramp! Cramp!
","['cramp', 'cramp', 'cramp']",3,0,3,-1.0
70,"I think she's trying
","['think', 'trying']",2,0,0,0.0
71,"to tell us something.
","['tell', 'u', 'something']",3,0,0,0.0
72,"Quick, get the verbs.
","['quick', 'get', 'verb']",3,0,0,0.0
73,"You! You!
",[],0,0,0,
74,"You said he liked me!
","['said', 'liked']",2,1,0,0.5
75,"You!
",[],0,0,0,
76,"You slowpokes!
",['slowpoke'],1,0,0,0.0
